"Reference","Value","Footprint","Datasheet","Qty"
"C1, C2, C5, C13, C15","10u","Capacitor_SMD:C_0805_2012Metric","~","5"
"C3, C4, C6, C14, C16, C18, C20","0.1u","Capacitor_SMD:C_0805_2012Metric","~","7"
"C7, C8","1u","Capacitor_SMD:C_0805_2012Metric","~","2"
"C9, C10","47u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","2"
"C11, C12","10p","Capacitor_SMD:C_0805_2012Metric","~","2"
"C17, C19","3000p","Capacitor_SMD:C_0805_2012Metric","~","2"
"C21, C23","4.7u","Capacitor_SMD:C_0805_2012Metric","~","2"
"C22","220n","Capacitor_SMD:C_0805_2012Metric","~","1"
"C24","2.2u","Capacitor_SMD:C_0805_2012Metric","~","1"
"J1","Audio I/O","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","1"
"J2","Power Input","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","1"
"J3","FPGA Interface","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","1"
"R1, R2","453","Resistor_SMD:R_0805_2012Metric","~","2"
"R3-R5","10k","Resistor_SMD:R_0805_2012Metric","~","3"
"SB1-SB4","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","4"
"U1","PCM1808PWR","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","PCM1808PWR","1"
"U2","NAU8402WG","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","NAU8402WG","1"
"U3","PLL1707DBQ","Package_SO:QSOP-20_3.9x8.7mm_P0.635mm","PLL1707DBQ","1"
"Y1","Crystal","Crystal:Crystal_HC49-U_Vertical","~","1"
